item0000	Tradition requires parental approval for under-age marriage.
item0001	The clumsy customer spilled some expensive perfume. 
item0002	Grand auto slid three to fifteen and one eighth on the American Stock Exchange 
item0003	The company which runs retail automotive stores told Shearson Lehman Brothers its financial adviser to terminate discussions to sell the firm 
item0004	She had your dark suit in greasy wash water all year. 
item0005	Don't ask me to carry an oily rag like that.
item0764	But we also think many Japanese companies are making products overseas because of the yen's strength and importing them back to Japan 
item0765	A savannah electric spokesman said the acquisition by southern will allow the company to achieve the some of the same results in a more efficient manner .Period 
item0766	"double-quote they've been peeling off some stock to take advantage of better prices ,comma "double-quote he said .Period 
item0767	Washington post company raised its quarterly dividend to thirty nine cents a share from thirty two cents ,comma payable february twelfth to stock of record January twenty ninth .Period 
item0768	"double-quote he was able to stay in a groove longer than any pitcher I've seen .Period 
item0769	Bonds sold that month were the last to carry a minimum seven point five percent interest rate .Period 
item0770	All of these retailing experiments failed miserably .Period 
item0771	At stake is a three acre plot on the site of the defunct coliseum overlooking columbus circle and the southwest corner of central park 
item0772	But his aides say he was convinced that he was doing the right thing .Period 
item0773	Defined benefits have become costlier to administer because of new tax and accounting rules 
item0774	There are two issues to consider .Period 
item0775	"double-quote but in practical effect ,comma it would eliminate the requirement .Period "double-quote 
item0776	The index ended with a decline of zero point three five point to one thousand two hundred seventy two point one eight 
item0777	After all that Mr. hay doesn't want the house to fall into the hands of right wing paramilitary crazies 
item0778	Energy prices dropped zero point eight percent after a four point five percent decline the prior month .Period 
item0779	But additional use of military radar planes ,comma expanded naval patrols and more frequent aircraft interceptions could drain the military's already tight operating budgets .Period 
item0780	"double-quote hiring authorities are ,comma after all ,comma human ,comma "double-quote says alan schonberg ,comma president of cleveland -hyphen based management recruiters international incorporated ,comma an executive -hyphen search concern .Period 
item0781	"double-quote I also like to let professionals show how good they can be on their own .Period "double-quote 
item0782	The shares closed at eighteen dollars and twenty five cents up twenty five cents on the New York stock exchange composite tape 
item0783	After subtracting underwriters' fees of about seventy million dollars the government's net proceeds from the offering are one point five eight billion dollars 
item0784	But the company also is suffering the consequences of some basic strategic errors .Period 
item0785	"double-quote asset allocation tends to involve investing against the trend .Period 
item0786	Among financial stocks brokerages tended to be sold 
item0787	But last august the federal reserve board told banca commerciale that it must file an application with the fed as part of the italian bank's bid 
item0788	C. and c. is the N.E.C. corporate slogan it stands for computers and communications 
item0789	"They've got him for life!" I said to myself that evening on my way back to the station; 
item0790	But later on, alone in the compartment (from Wimbledon to Waterloo, before the glory of the District Railway) 
item0791	I amended this declaration in the light of the sense that my friends would probably after all not enjoy a monopoly of Mr. Saltram. 
item0792	I won't pretend to have taken his vast measure on that first occasion, 
item0793	But I think I had achieved a glimpse of what the privilege of his acquaintance might mean for many persons in the way of charges accepted. 
item0794	He had been a great experience, and it was this perhaps that had put me into the frame of foreseeing how we should all,
item0795	Sooner or later, have the honour of dealing with him as a whole. 
item0796	Whatever impression I then received of the, amount of this total, I had a full enough vision of the patience of the Mark. 
item0797	He was to stay all the winter: Adam dropped it in a tone that drew the sting from the inevitable emphasis. 
item0798	These excellent people might indeed have been content to give the circle of hospitality a diameter of six months; 
item0799	But if they didn't say he was to stay all summer as well it was only because this was more than they ventured to hope. 
item0800	I remember that at dinner that evening he wore slippers, new and predominantly purple, of some queer carpet-stuff; 
item0801	But the Mulvilles were still in the stage of supposing that he might be snatched from them by higher bidders. 
item0802	At a later time they grew, poor dears, to fear no snatching; 
item0803	But theirs was a fidelity which needed no help from competition to make them proud. 
item0804	Wonderful indeed as, when all was said, you inevitably pronounced Frank Smith, 
item0805	It was not to be overlooked that the Kent Brothers were in their way still more extraordinary: 
item0806	As striking an instance as could easily be encountered of the familiar truth that remarkable men find remarkable conveniences.
