item0000	Tradition requires parental approval for under-age marriage.
item0001	The clumsy customer spilled some expensive perfume. 
item0002	Grand auto slid three to fifteen and one eighth on the American Stock Exchange 
item0003	The company which runs retail automotive stores told Shearson Lehman Brothers its financial adviser to terminate discussions to sell the firm 
item0004	She had your dark suit in greasy wash water all year. 
item0005	Don't ask me to carry an oily rag like that.
item0006	But retailers have seen strong sales of big -hyphen ticket items to well -hyphen heeled customers .Period 
item0007	British aerospace shares fell twenty five pence (left-paren forty five cents )right-paren ,comma to three hundred twenty nine pence ,comma in late trading yesterday on london's stock exchange .Period 
item0008	And with all the different groups waving the competitiveness flag ,comma won't the argument get a little shopworn ?question-mark 
item0009	As for principal transactions wall street's euphemism for trigger happy trading it's a bit harder to gauge the risks 
item0010	Does it really want as it is now getting endless hearings run by huge staffs cramming more laws rules and amendments into an already fat federal code 
item0011	When its initial public offering is completed ashland is expected to retain a forty six percent stake 
item0012	"double-quote his best pitch is his sinker ,comma and it's a great one .Period 
item0013	At the office ,comma the collector's natural enemies are switchboard operators and secretaries ,comma so Mr. cairo advises calling the *debtor* before nine ,comma after five and during lunch .Period 
item0014	"double-quote but our feeling is that the toaster waffles that you can produce in thirty seconds are more convenient and better quality .Period "double-quote 
item0015	The stock ,comma which yields nine percent ,comma begins trading ex -hyphen dividend today .Period 
item0016	They draw former activists who don't want to forget solidarity and a new generation too young to remember it .Period 
item0017	Announcement of the talks surprised analysts and failed to impress investors .Period 
item0018	And the recorder indicates that a cockpit alarm that should have alerted the crew to improperly set flaps didn't go off .Period 
item0019	But he added that "double-quote the dollar came up too fast ;semi-colon the market's been consolidating its gains .Period "double-quote 
item0020	The company said shareholders also approved a proposal to issue one share of a new class B. common stock for each share of a common outstanding .Period 
item0021	And among morgan stanley's biggest percentage gains in nineteen eighty seven was equity principal transactions which nearly tripled to two hundred fifty nine million dollars in revenue 
item0022	Both farmers and the insurance exchanges it manages have filed an appeal to that court ruling 
item0023	Alas ,comma they probably should have devoted a little more thought to winnebago's past .Period 
item0024	"double-quote the place almost blew up with the gasoline coming in from outside ,comma "double-quote he says .Period 
item0025	The seven units to be offered for sale have a work force of about twenty thousand .Period 
item0026	"double-quote the gold market was just closing .Period 
item0027	Each of first interstate's floors are about sixteen thousand square feet 
item0028	Despite a management shake -hyphen up and an expensive new advertising campaign ,comma franchisees report disappointing sales .Period 
item0029	Along with that surge has come an explosion of another sort 
item0030	The reduction in the reserve amount also reduced the first -hyphen quarter net loss by seventeen million dollars .Period 
item0031	In commencing a course of lectures on Mental Science, it is somewhat difficult for the lecturer to fix upon the best method of opening the subject. 
item0032	It can be approached from many sides, each with some peculiar advantage of its own; 
item0033	But, after careful deliberation, it appears to me that, for the purpose of the present course, no better starting-point could be selected than the relation between Spirit and Matter. 
item0034	I select this starting-point because the distinction--or what we believe to be such-- between them is one with which we are so familiar that I can safely assume its recognition by everybody; 
item0035	And I may, therefore, at once state this distinction by using the adjectives which we habitually apply as expressing the natural opposition between the two living spirit and dead matter.
item0036	These terms express our current impression of the opposition between spirit and matter with sufficient accuracy, and considered only from the point of view of outward appearances this impression is no doubt correct. 
item0037	The general consensus of mankind is right in trusting the evidence of our senses, 
item0038	And any system which tells us that we are not to do so will never obtain a permanent footing in a sane and healthy community. 
item0039	There is nothing wrong in the evidence conveyed to a healthy mind by the senses of a healthy body, but the point where error creeps in is when We come to judge of the meaning of this testimony. 
item0040	We are accustomed to judge only by external appearances and by certain limited significances which we attach to words; 
item0041	But when we begin to enquire into the real meaning of our words and to analyse the causes which give rise to the appearances, 
item0042	We find our old notions gradually falling off from us, until at last we wake up to the fact that we are living in an entirely different world to that we formerly recognized. 
item0043	The old limited mode of thought has imperceptibly slipped away, and we discover that we have stepped out into a new order of things where all is liberty and life. 
item0044	This is the work of an enlightened intelligence resulting from persistent determination to discover what truth really is irrespective of any preconceived notions from whatever source derived, 
item0045	the determination to think honestly for ourselves instead of endeavouring to get our thinking done for us. 
item0046	Let us then commence by enquiring what we really mean by the livingness which we attribute to spirit and the deadness which we attribute to matter.
