item0000	Tradition requires parental approval for under-age marriage.
item0001	The clumsy customer spilled some expensive perfume. 
item0002	Grand auto slid three to fifteen and one eighth on the American Stock Exchange 
item0003	The company which runs retail automotive stores told Shearson Lehman Brothers its financial adviser to terminate discussions to sell the firm 
item0004	She had your dark suit in greasy wash water all year. 
item0005	Don't ask me to carry an oily rag like that.
item0944	The notes are being sold through morgan stanley &ampersand company .Period 
item0945	"double-quote I will be delighted if the minister (left-paren Mr. .Period 
item0946	Coniston ,comma among other things ,comma is calling for a new vote .Period 
item0947	Dredging up katyn ,comma said one of its members ,comma would only "double-quote foment anti -hyphen Soviet sentiment in the polish public .Period "double-quote 
item0948	But towle's negative net worth or assets minus liabilities widened at december thirty first from one hundred thousand dollars a year earlier 
item0949	"double-quote it's a bad feeling in your stomach when the chairman and previous bidder is selling his block ,comma "double-quote he said .Period 
item0950	The other was Mitsubishi motors corporation's U.S. sales operation 
item0951	Washington national is a financial services concern 
item0952	"double-quote they couldn't have a better person on the job at this time ,comma "double-quote Mr. ruder says .Period 
item0953	The offering size was increased from the eight million shares originally planned 
item0954	"double-quote Australians have got to recognize that we aren't out of the woods yet ,comma "double-quote he says .Period 
item0955	The november decline brought sales to an annual rate of six hundred sixty four thousand units from six hundred seventy two thousand in october .Period 
item0956	As previously reported warner and lorimar agreed in may to merge in a stock swap valued at about six hundred forty million dollars 
item0957	Breakup value ,comma sixty five dollars to seventy dollars .Period 
item0958	And insiders say that New York needs to coordinate better with its counterparts in tokyo and london 
item0959	But the other two permanent members ,comma china and the Soviet union ,comma may perceive that their interests are advanced by a continuation of hostilities .Period 
item0960	We can take profits in one market and go elsewhere where opportunities are better .Period "double-quote 
item0961	"double-quote we have looked at them (left-paren microwave waffles )right-paren ,comma "double-quote said a spokesman at I.C. industries .Period 
item0962	Though there was little evidence the stock market plunge had affected sales the outlook remains uncertain 
item0963	Washington national paid nineteen dollars a share for the two point six million united presidential shares it didn't already own 
item0964	But supporters of targeted mail solicitation say that even if some letters are in bad taste at least they are from lawyers seeking to work on the victims' behalf 
item0965	A carbide spokesman has decried the ruling as "double-quote a judgment and decree without trial .Period "double-quote 
item0966	Typically ,comma investors bid up a company's stock price on news that it will be reducing the amount of shares available in the market .Period 
item0967	What is wrong with this picture 
item0968	There were two hundred seventy seven issues advancing and three hundred forty four declining .Period 
item0969	This long letter is because I'm writing before breakfast. 
item0970	Oh, the beautiful vine leaves! 
item0971	The house is covered with a vine. 
item0972	I looked out earlier, and Mrs. Wilcox was already in the garden. 
item0973	She evidently loves it. 
item0974	No wonder she sometimes looks tired. 
item0975	She was watching the large red poppies come out. 
item0976	Then she walked off the lawn to the meadow, whose corner to the right I can just see.
item0977	Trail, trail, went her long dress over the sopping grass, and she came back with her hands full of the hay that was cut yesterday--I suppose for rabbits or something, as she kept on smelling it. 
item0978	The air here is delicious. 
item0979	Later on I heard the noise of croquet balls, and looked out again, and it was Charles Wilcox practising; they are keen on all games. 
item0980	Presently he started sneezing and had to stop. 
item0981	Then I hear more clicketing, and it is Mr. Wilcox practising, and then, 'a-tissue, a-tissue': he has to stop too. 
item0982	Then Christy comes out, and does some calisthenic exercises on a machine that is tacked on to a greengage-tree--they put everything to use--and then she says 'a-tissue,' and in she goes. 
item0983	And finally Mrs. Wilcox reappears, trail, trail, still smelling hay and looking at the flowers. 
item0984	I inflict all this on you because once you said that life is sometimes life and sometimes only a drama, 
item0985	And one must learn to distinguish the other from which, and up to now I have always put that down as 'Meg's clever nonsense.' 
item0986	But this morning, it really does seem not life but a play, and it did amuse me enormously to watch the W's. 
item0987	Now Mrs. Wilcox has come in.
