item0000	Tradition requires parental approval for under-age marriage.
item0001	The clumsy customer spilled some expensive perfume. 
item0002	Grand auto slid three to fifteen and one eighth on the American Stock Exchange 
item0003	The company which runs retail automotive stores told Shearson Lehman Brothers its financial adviser to terminate discussions to sell the firm 
item0004	She had your dark suit in greasy wash water all year. 
item0005	Don't ask me to carry an oily rag like that.
item1389	Elders finance and elders agribusiness will remain based in Australia
item1390	Energy futures prices rose following an explosion at a major U. S. refining plant
item1391	Envirodyne said it expects sales to be the highest for any third quarter in the company's history
item1392	Estimated and actual results involving losses are omitted
item1393	Estimates on the yield range from six and one half percent to six and five eighths percent .period
item1394	Even some bigger companies caution that they are leery of paying too big a premium
item1395	Everyone there is watching television .period
item1396	Everything is done Mr. Levy said yesterday
item1397	Excluding autos sales increased zero point three percent
item1398	Excluding defense ,comma orders were unchanged in June after rising one point six percent in may .period
item1399	Expenses from the delayed nine mile point two nuclear plant accounted for two hundred sixty nine million dollars of the write off
item1400	Exxon Corporation said earlier this week that it replaced one hundred fourteen percent of its oil and gas production in nineteen eighty seven
item1401	F. C. A. confirmed that it has reached a tentative settlement of class action shareholder litigation stemming from the company's financial problems since nineteen eighty three .period
item1402	Fees range up to about forty dollars annually for basic cards and sixty dollars a year for gold cards
item1403	Few observers are optimistic about the court's other problems
item1404	Few people predict a dividend cut at G. M. however
item1405	Fidelity had contended that GenCorp isn't a qualified broadcaster because it failed to disclose allegedly improper political campaign contributions and foreign payments
item1406	Finally ,comma Japanese business is moving to meet the demand .period
item1407	First ,comma what was Admiral Poindexter's belief about the president's policy of helping the Nicaraguan democratic resistance ?question-mark
item1408	First commodity appealed the expulsion and fine to the C. F. T. C.
item1409	First commodity officials couldn't be reached for comment
item1410	First -hyphen quarter sales rose seventy two percent to forty four point one million dollars from twenty five point seven million dollars a year ago .period
item1411	First National Corporation ,comma a San Diego -hyphen based bank holding company ,comma began trading under F. N. .period
item1412	First section volume was estimated at a heavy one point six billion shares up from one point three billion shares wednesday
item1413	First what was Admiral Poindexter's belief about the president's policy of helping the Nicaraguan democratic resistance
item1414	The policeman told his tale to an inspector, who sat in a large bare room with a thing like a clumsy nursery-fender at one end to put prisoners in. 
item1415	Robert wondered whether it was a cell or a dock.
item1416	'Produce the coins, officer,' said the inspector.
item1417	'Turn out your pockets,' said the constable.
item1418	Cyril desperately plunged his hands in his pockets, stood still a moment, and then began to laugh 
item1419	An odd sort of laugh that hurt, and that felt much more like crying. 
item1420	His pockets were empty. 
item1421	So were the pockets of the others. 
item1422	For of course at sunset all the fairy gold had vanished away.
item1423	'Turn out your pockets, and stop that noise,' said the inspector.
item1424	Cyril turned out his pockets, every one of the nine which enriched his Norfolk suit. 
item1425	And every pocket was empty.
item1426	'Well!' said the inspector.
item1427	'I don't know how they done it - artful little beggars! 
item1428	They walked in front of me the 'old way, so as for me to keep my eye on them and not to attract a crowd and obstruct the traffic.'
