item0000	Tradition requires parental approval for under-age marriage.
item0001	The clumsy customer spilled some expensive perfume. 
item0002	Grand auto slid three to fifteen and one eighth on the American Stock Exchange 
item0003	The company which runs retail automotive stores told Shearson Lehman Brothers its financial adviser to terminate discussions to sell the firm 
item0004	She had your dark suit in greasy wash water all year. 
item0005	Don't ask me to carry an oily rag like that.
item0165	Before the transaction Washington national controlled one point eight million united presidential shares or forty one point five percent of the company 
item0166	Bids totaling five hundred million dollars were submitted .Period 
item0167	Bids totaling five hundred twenty five point five million dollars were submitted 
item0168	Bids totaling four hundred sixty million dollars were submitted .Period 
item0169	Bond prices fell in the U.S. and overseas ,comma partly on speculation that central banks may raise rates to bolster their currencies .Period 
item0170	Both companies offered dealers cash incentives during the month Nissan on three of its best selling cars and Mitsubishi on all but one of its passenger cars 
item0171	B. p. might be reluctant to proceed with its seventy dollar -hyphen a -hyphen share offer in the face of outright opposition from the outside directors .Period 
item0172	Brazilian debt has fallen to comparable levels .Period 
item0173	Brokers said some foreign investors sold stocks to realize currency gains on the recent rise of the Australian dollar 
item0174	But any dip in inflation associated with oil prices is likely to be temporary 
item0175	But any dip in inflation associated with oil prices is likely to be temporary .Period 
item0176	But coniston refused to concede defeat and will seek a recount .Period 
item0177	But consumers generally would have another month until credit card bills came due and considerably more time if they were willing to pay interest 
item0178	But consumers generally would have another month until credit -hyphen card bills came due -dash and considerably more time if they were willing to pay interest .Period 
item0179	But crude oil prices fell sharply earlier this week when the thirteen -hyphen member organization of petroleum exporting countries couldn't agree to lower output .Period 
item0180	But excluding fuel and food ,comma the index probably rose zero point four percent or zero point five percent ,comma some analysts contend .Period 
item0181	But he said that would only be true if the dollar were weak 
item0182	But if the winning bids are as high as they were in some deals earlier this year then we're not going to be winning bidders 
item0183	But it apparently hasn't made film studios any less likely to take on projects that include elaborate special effects .Period 
item0184	But it is Mr. west upon whom the outcome probably depends most 
item0185	But it seems clear that Mr. volcker hasn't ruled out accepting another four -hyphen year term .Period 
item0186	But many medium -hyphen sized technology issues continued their recent climb .Period 
item0187	But market analysts said a takeover of salomon was highly unlikely ,comma even with the firm's depressed stock price .Period 
item0188	But on the first read through the case is without merit and we intend to fight it 
item0189	But she insists I don't want to go on welfare 
item0190	'Let me alone,' it said. 
item0191	And now everyone heard the voice and looked at the others to see if they had too.
item0192	'But we want to see you,' said Robert bravely.
item0193	'I wish you'd come out,' said Anthea, also taking courage.
item0194	'Oh, well - if that's your wish,' the voice said, and the sand stirred and spun and scattered, 
item0195	And something brown and furry and fat came rolling out into the hole and the sand fell off it, 
item0196	And it sat there yawning and rubbing the ends of its eyes with its hands.
item0197	'I believe I must have dropped asleep,' it said, stretching itself.
item0198	The children stood round the hole in a ring, looking at the creature they had found. 
item0199	It was worth looking at. 
item0200	Its eyes were on long horns like a snail's eyes, and it could move them in and out like telescopes; 
item0201	It had ears like a bat's ears, and its tubby body was shaped like a spider's and covered with thick soft fur;
item0202	Its legs and arms were furry too, and it had hands and feet like a monkey's.
item0203	'What on earth is it?' Jane said. 'Shall we take it home?'
item0204	The thing turned its long eyes to look at her, and said: 'Does she always talk nonsense, or is it only the rubbish on her head that makes her silly?'
