item0000	Tradition requires parental approval for under-age marriage.
item0001	The clumsy customer spilled some expensive perfume. 
item0002	Grand auto slid three to fifteen and one eighth on the American Stock Exchange 
item0003	The company which runs retail automotive stores told Shearson Lehman Brothers its financial adviser to terminate discussions to sell the firm 
item0004	She had your dark suit in greasy wash water all year. 
item0005	Don't ask me to carry an oily rag like that.
item1125	By the end of the month ,comma two hundred fifty additional full -hyphen time employees will be dismissed ,comma as will fifty three people who work under contract .period
item1126	By the end of the year ,comma a further ninety five full -hyphen time employees will leave .period
item1127	Canadian government bonds fell about one eighth point to one quarter point .period
item1128	Car sales rose nineteen point three percent in late march, comma buoyed by incentives .period
item1129	Centerior energy corporation Cleveland said it began a public offering of four million common shares at twenty three point one two five dollars a share
item1130	Centerior energy corporation ,comma Cleveland ,comma said it began a public offering of four million common shares at twenty three point one two five dollars a share .period
item1131	Certain prices have risen at a brisk pace throughout this decade
item1132	Change didn't come about overnight ,comma but after a few years Americans recognized that Japanese products often were every bit as good and sometimes better than competing U. S. goods .period
item1133	China has been a principal arms supplier for Iran
item1134	Chrysler reduced some prices on Friday
item1135	Citicorp had twenty one point five billion dollars in capital at the end of last year
item1136	Citicorp said an accord hasn't at this moment been signed
item1137	Citicorp said an accord hasn't "double-quote at this moment "double-quote been signed .period
item1138	Citicorp scheduled another fifty million dollar sale next Tuesday .period
item1139	Citicorp slated another fifty million dollar sale next tuesday .period
item1140	Claim losses increased eleven percent to thirty five point one one billion dollars .period
item1141	Closed end funds are traded on exchanges like stocks but invest in a wide portfolio of other securities
item1142	Closely held times publishing also owns two Washington based publications congressional quarterly which covers Capitol Hill and governing which covers state and local governments
item1143	Commerce department officials noted however that auto imports usually rise in October as dealers fill their inventories with new models
item1144	Common shares that aren't purchased will be exchanged for the combination of new preferred and cash
item1145	Companies listed below reported quarterly profit substantially different from the average of analysts' estimates
item1146	Congress and the administration have begun to take the right steps to improve the credit budget
item1147	Coniston partners of New York said it has a six point eight percent stake in Gillette and may seek to acquire the company or gain seats on its board
item1148	Consumer -hyphen oriented companies are usually expected to out -hyphen perform other corporations in a slowdown or a recession ,comma but that may not be the case this year .period
item1149	Consumer prices rose one point six percent in February the highest monthly increase since mid nineteen eighty one
item1150	It's my hands being so dirty fills their minds with doubts.'
item1151	So they chose a humble shop, and the girls bought cotton gloves, the kind at sixpence three-farthings, 
item1152	But when they offered a guinea the woman looked at it through her spectacles and said she had no change; 
item1153	So the gloves had to be paid for out of Cyril's two-and-sevenpence that he meant to buy rabbits with, 
item1154	And so had the green imitation crocodile-skin purse at ninepence-halfpenny which had been bought at the same time. 
item1155	They tried several more shops, 
item1156	The kinds where you buy toys and scent, and silk handkerchiefs and books, and fancy boxes of stationery, 
item1157	And photographs of objects of interest in the vicinity. 
item1158	But nobody cared to change a guinea that day in Rochester, and as they went from shop to shop they got dirtier and dirtier, 
item1159	And their hair got more and more untidy, and Jane slipped and fell down on a part of the road where a water-cart had just gone by. 
item1160	Also they got very hungry, but they found no one would give them anything to eat for their guineas. 
item1161	After trying two pastrycooks in vain, they became so hungry, perhaps from the smell of the cake in the shops, as Cyril suggested, 
item1162	That they formed a plan of campaign in whispers and carried it out in desperation. 
item1163	They marched into a third pastrycook's - Beale his name was 
item1164	And before the people behind the counter could interfere each child had seized three new penny buns, clapped the three together between its dirty hands, and taken a big bite out of the triple sandwich. 
